City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Dikson,RU,73.5069,80.5464,8.78,93,100,16.6,overcast clouds
230,Kyshtovka,RU,56.555,76.6271,33.82,68,72,7.14,broken clouds
231,Broken Hill,AU,-31.95,141.4333,72.25,42,37,17.18,scattered clouds
232,Dunedin,NZ,-45.8742,170.5036,63.81,53,8,11.99,clear sky
233,Vanavara,RU,60.34,102.2797,30.07,75,100,5.28,overcast clouds
234,Geraldton,AU,-28.7667,114.6,72.01,37,100,17.27,overcast clouds
235,Vostok,RU,46.4856,135.8833,45.91,31,100,5.95,overcast clouds
236,Eureka,US,40.8021,-124.1637,66.67,73,20,5.01,few clouds
237,Varca,IN,15.2167,73.9167,80.56,77,5,2.51,clear sky
238,Chicama,PE,-7.8447,-79.1469,59.54,80,88,6.2,overcast clouds
239,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,84,12.86,light rain
240,Narsaq,GL,60.9167,-46.05,41.22,89,100,2.68,overcast clouds
241,Ruangwa,TZ,-10.0667,38.9333,69.67,97,100,2.17,overcast clouds
242,Vao,NC,-22.6667,167.4833,74.64,63,100,22.95,overcast clouds
243,Sistranda,NO,63.7256,8.834,42.76,79,100,6.58,overcast clouds
244,Hamilton,US,39.1834,-84.5333,77.09,54,0,8.05,clear sky
245,Snasa,NO,64.2457,12.3778,37.44,97,100,3.89,overcast clouds
246,Hobyo,SO,5.3505,48.5268,82.78,72,4,11.07,clear sky
247,Yaan,NG,7.3833,8.5667,77.47,75,100,6.89,overcast clouds
248,Buckeye,US,33.3703,-112.5838,87.69,6,0,4.61,clear sky
249,El Rusio,HN,14.4667,-86.3667,73.11,75,44,3.58,scattered clouds
250,Solton,RU,52.8429,86.4787,33.82,70,6,3.18,clear sky
251,Saldanha,ZA,-33.0117,17.9442,57.27,79,0,14.2,clear sky
252,Mount Isa,AU,-20.7333,139.5,69.57,100,100,6.91,light intensity drizzle
253,Hobart,AU,-42.8794,147.3294,57.25,85,75,8.05,broken clouds
254,Siva,EG,29.2041,25.5195,70.75,35,18,8.99,few clouds
255,Revelstoke,CA,50.9832,-118.2023,55.56,83,100,2.35,overcast clouds
256,Aripuana,BR,-9.1667,-60.6333,74.43,93,0,0.74,clear sky
257,Makakilo City,US,21.3469,-158.0858,82.72,51,40,20.71,scattered clouds
258,Turukhansk,RU,65.8167,87.9833,11.32,91,100,5.26,overcast clouds
259,Esperance,AU,-33.8667,121.9,64.15,68,67,9.8,broken clouds
260,Sitka,US,57.0531,-135.33,46.29,76,100,0.0,light rain
261,Kahului,US,20.8947,-156.47,82.42,66,75,21.85,broken clouds
262,Olafsvik,IS,64.8945,-23.7142,45.43,71,79,6.64,broken clouds
263,Gwanda,ZW,-20.9333,29.0,65.73,74,45,3.4,scattered clouds
264,Nador,MA,35.174,-2.9287,57.45,82,0,2.3,clear sky
265,Nome,US,64.5011,-165.4064,38.16,87,100,0.0,overcast clouds
266,Leningradskiy,RU,69.3833,178.4167,22.69,86,93,3.02,overcast clouds
267,Port Hawkesbury,CA,45.6169,-61.3485,37.18,92,100,9.22,overcast clouds
268,Yudong,CN,29.385,106.5194,68.2,80,100,3.71,overcast clouds
269,Touros,BR,-5.1989,-35.4608,76.1,91,100,8.52,overcast clouds
270,Talnakh,RU,69.4865,88.3972,-0.8,97,90,5.1,overcast clouds
271,Kavaratti,IN,10.5669,72.642,84.09,71,5,1.25,clear sky
272,Aloleng,PH,16.1307,119.7824,85.37,67,7,4.63,clear sky
273,Bonavista,CA,48.6499,-53.1147,36.1,93,100,19.8,overcast clouds
274,Stillwater,US,36.1156,-97.0584,65.01,55,75,6.91,broken clouds
275,Bar Harbor,US,44.3876,-68.2039,46.54,49,0,5.75,clear sky
276,Palmer,US,42.1584,-72.3287,51.44,57,40,8.05,scattered clouds
277,Kalanguy,RU,51.0167,116.5167,34.84,54,100,11.45,overcast clouds
278,Meridian,US,43.6121,-116.3915,65.16,19,0,6.91,clear sky
279,Pevek,RU,69.7008,170.3133,13.21,89,86,1.39,overcast clouds
280,Sur,OM,22.5667,59.5289,84.25,43,0,9.66,clear sky
281,Atlantis,ZA,-33.5667,18.4834,55.98,87,0,6.26,clear sky
282,Hami,CN,42.8,93.45,60.64,35,20,19.24,few clouds
283,Alyangula,AU,-13.8483,136.4192,78.67,94,100,6.91,overcast clouds
284,Dawei,MM,14.0833,98.2,83.44,73,55,1.88,broken clouds
285,Bandarbeyla,SO,9.4942,50.8122,81.23,73,66,7.07,broken clouds
286,Jiuquan,CN,39.7432,98.5174,54.59,47,0,7.61,clear sky
287,Belyy Yar,RU,53.6039,91.3903,29.86,64,11,0.0,few clouds
288,Mopti,ML,14.6667,-4.0,88.29,11,95,12.48,overcast clouds
289,Panguna,PG,-6.3164,155.4848,81.37,63,54,2.82,light rain
290,Alofi,NU,-19.0595,-169.9187,78.94,79,99,11.61,light rain
291,Athabasca,CA,54.7169,-113.2854,51.58,57,35,14.99,scattered clouds
292,Haines Junction,CA,60.7522,-137.5108,43.09,70,87,2.51,overcast clouds
293,Japura,ID,-0.3167,102.35,77.77,94,97,1.39,overcast clouds
294,Tecoanapa,MX,16.5167,-98.75,81.48,67,2,6.51,clear sky
295,Parambu,BR,-6.2111,-40.6944,70.75,76,100,1.81,overcast clouds
296,Birjand,IR,32.8663,59.2211,61.52,39,63,8.1,broken clouds
297,Smirnykh,RU,49.75,142.8333,34.84,78,21,17.22,few clouds
298,Ranong,TH,9.9658,98.6348,82.81,78,98,3.06,overcast clouds
299,Montbrison,FR,45.6667,4.0833,52.14,94,99,4.34,overcast clouds
300,Savannah Bight,HN,16.45,-85.85,81.48,74,0,20.24,clear sky
301,Trelew,AR,-43.249,-65.3051,57.29,28,0,28.54,clear sky
302,Jiwani,PK,25.05,61.7417,80.28,81,0,5.01,clear sky
303,Sorland,NO,67.667,12.6934,40.15,91,100,9.86,light rain
304,Torbay,CA,47.6666,-52.7314,37.76,96,100,16.11,light intensity drizzle
305,Hellin,ES,38.5106,-1.701,53.35,56,49,5.82,scattered clouds
306,Balezino,RU,57.9796,53.0106,35.28,99,99,3.09,overcast clouds
307,Murmashi,RU,68.8154,32.8115,34.21,93,40,1.99,scattered clouds
308,Aracati,BR,-4.5617,-37.7697,77.29,87,100,8.66,overcast clouds
309,Bilma,NE,18.6853,12.9164,88.52,9,0,6.93,clear sky
310,Kununurra,AU,-15.7667,128.7333,85.98,42,70,6.91,broken clouds
311,Miri,MY,4.4148,114.0089,79.84,88,100,5.82,overcast clouds
312,Port-Cartier,CA,50.0334,-66.8654,36.75,91,100,5.08,overcast clouds
313,Stepnyak,KZ,52.8339,70.7803,30.78,51,45,4.29,scattered clouds
314,Salinopolis,BR,-0.6136,-47.3561,78.35,86,86,11.59,overcast clouds
315,Shihezi,CN,44.3,86.0333,52.21,42,100,10.78,overcast clouds
316,Yuzhnyy,RU,53.2542,83.6936,30.58,69,0,2.24,clear sky
317,Gamba,GA,-2.65,10.0,77.18,90,100,3.76,overcast clouds
318,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,20.71,scattered clouds
319,Perevoz,RU,55.5961,44.5446,49.37,94,100,7.85,overcast clouds
320,Southbridge,US,42.0751,-72.0334,50.11,64,54,4.7,broken clouds
321,Khasan,RU,42.4308,130.6434,52.41,58,0,6.53,clear sky
322,Thomasville,US,35.8826,-80.082,71.69,69,0,6.24,clear sky
323,Morshansk,RU,53.4435,41.8107,49.6,89,100,7.25,overcast clouds
324,Waipawa,NZ,-41.4122,175.5153,57.07,62,85,2.64,overcast clouds
325,Yar-Sale,RU,66.8333,70.8333,1.53,97,54,4.21,broken clouds
326,Pisco,PE,-13.7,-76.2167,69.03,77,0,6.91,clear sky
327,Santa Isabel,BR,-23.3156,-46.2214,69.1,94,91,3.11,overcast clouds
328,Manitouwadge,CA,49.1215,-85.8403,41.52,98,100,6.22,overcast clouds
329,Asyut,EG,27.181,31.1837,71.76,26,0,7.78,clear sky
330,Ancud,CL,-41.8697,-73.8203,44.22,75,64,21.72,light rain
331,Tasiilaq,GL,65.6145,-37.6368,30.36,68,17,3.24,few clouds
332,Havoysund,NO,70.9963,24.6622,34.03,71,100,8.43,light snow
333,Troitsko-Pechorsk,RU,62.7084,56.1964,33.78,99,100,4.5,overcast clouds
334,Ewo,CG,-0.8725,14.8206,72.27,93,80,1.7,light rain
335,Lamu,KE,-2.2717,40.902,82.13,78,100,9.95,overcast clouds
336,Chigorodo,CO,7.6664,-76.6811,75.52,95,100,2.28,overcast clouds
337,Bundaberg,AU,-24.85,152.35,80.22,64,75,18.41,broken clouds
338,Ploemeur,FR,47.7333,-3.4333,55.62,88,100,1.99,mist
339,Tessalit,ML,20.1986,1.0114,76.37,12,0,8.97,clear sky
340,Dori,BF,14.0354,-0.0345,85.41,11,99,10.51,overcast clouds
341,Hualmay,PE,-11.0964,-77.6139,67.41,86,51,9.69,broken clouds
342,Nordby,DK,55.446,8.3979,42.06,77,13,9.22,few clouds
343,Elmina,GH,5.0898,-1.348,77.88,85,100,2.68,overcast clouds
344,Tuatapere,NZ,-46.1333,167.6833,58.33,69,40,14.7,scattered clouds
345,Broome,US,42.2506,-75.833,72.37,45,20,9.22,few clouds
346,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.71,78,100,15.21,overcast clouds
