City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Kavaratti,IN,84.09,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
272,Aloleng,PH,85.37,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
280,Sur,OM,84.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
283,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
284,Dawei,MM,83.44,broken clouds,14.0833,98.2,Hotel Dawei
285,Bandarbeyla,SO,81.23,broken clouds,9.4942,50.8122,JABIR HOTEL
288,Mopti,ML,88.29,overcast clouds,14.6667,-4.0,
289,Panguna,PG,81.37,light rain,-6.3164,155.4848,
290,Alofi,NU,78.94,light rain,-19.0595,-169.9187,Taloa Heights
293,Japura,ID,77.77,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
294,Tecoanapa,MX,81.48,clear sky,16.5167,-98.75,Hotel Manglares
295,Parambu,BR,70.75,overcast clouds,-6.2111,-40.6944,Recanto das Amoras
298,Ranong,TH,82.81,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
300,Savannah Bight,HN,81.48,clear sky,16.45,-85.85,Villa on Dunbar Rock
302,Jiwani,PK,80.28,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
308,Aracati,BR,77.29,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
309,Bilma,NE,88.52,clear sky,18.6853,12.9164,Expeditions Ténére voyages
310,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
311,Miri,MY,79.84,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
314,Salinopolis,BR,78.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
317,Gamba,GA,77.18,overcast clouds,-2.65,10.0,
318,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
322,Thomasville,US,71.69,clear sky,35.8826,-80.082,Comfort Inn Thomasville I-85
329,Asyut,EG,71.76,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
334,Ewo,CG,72.27,light rain,-0.8725,14.8206,Residence Elonda Ewo
335,Lamu,KE,82.13,overcast clouds,-2.2717,40.902,Lamu House
336,Chigorodo,CO,75.52,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
337,Bundaberg,AU,80.22,broken clouds,-24.85,152.35,Takalvan Motel
339,Tessalit,ML,76.37,clear sky,20.1986,1.0114,
340,Dori,BF,85.41,overcast clouds,14.0354,-0.0345,Hôtel Liptako
343,Elmina,GH,77.88,overcast clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
345,Broome,US,72.37,few clouds,42.2506,-75.833,Chenango Valley State Park
349,Monrovia,LR,76.51,overcast clouds,6.3005,-10.7969,Sunset Inn
350,Salalah,OM,79.7,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
352,Namatanai,PG,85.41,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
355,Linqiong,CN,70.03,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
359,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
362,Sahuaripa,MX,85.68,clear sky,29.05,-109.2333,Estatua de Sahuaripa
364,Payo,ID,75.87,overcast clouds,-3.7508,103.6372,Mess keban agung
368,Qiongshan,CN,84.33,few clouds,20.0058,110.3542,Sun City Restaurant
369,Gidam,IN,81.18,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
371,Vanimo,PG,84.49,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
372,Biltine,TD,84.69,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
377,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
381,Camopi,GF,73.11,scattered clouds,3.1655,-52.3158,La pousada
382,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
388,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
390,Lethem,GY,80.08,overcast clouds,3.3803,-59.7968,Savannah Inn
396,Tomatlan,MX,76.42,clear sky,19.9333,-105.25,El Salvial
398,Mildura,AU,70.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
401,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
403,Wagga Wagga,AU,70.84,scattered clouds,-35.1167,147.3667,The Club Motel and Apartments
407,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
409,Mogadishu,SO,82.53,broken clouds,2.0371,45.3438,Hotel Juba
412,Odweyne,SO,71.26,light rain,9.4092,45.064,Eng Hiirey House
413,Ceres,US,80.92,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
414,Kudahuvadhoo,MV,84.38,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
415,Manakara,MG,71.69,light rain,-22.1333,48.0167,La Residence Manakara
417,Marovoay,MG,73.17,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
419,Naze,JP,74.21,clear sky,28.3667,129.4833,Shishime Hotel
421,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
422,Souillac,MU,74.62,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
423,Coari,BR,75.2,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
424,Atar,MR,76.32,clear sky,20.5169,-13.0499,Oumou Elghoura
427,Celestun,MX,81.91,few clouds,20.8667,-90.4,Posada Lilia
429,Perbaungan,ID,77.11,overcast clouds,3.5679,98.956,Bendang Lama
430,Formosa Do Rio Preto,BR,72.27,broken clouds,-11.0483,-45.1931,Porto Center Hotel
432,Kapit,MY,75.38,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
438,Kilindoni,TZ,81.09,light rain,-7.9139,39.6668,Bustani B&B
439,Kroya,ID,81.14,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
441,Marawi,PH,78.64,broken clouds,7.9986,124.2928,Derogongan Residence
442,Ambulu,ID,80.92,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
444,Morehead,US,73.15,scattered clouds,37.2711,-87.1764,CCI Express Inn
445,Sinnamary,GF,78.13,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
446,Alta Floresta,BR,73.94,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
451,Houma,US,77.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
456,Sorong,ID,82.94,broken clouds,-0.8833,131.25,Waigo Splash Hotel
458,San Ignacio,BZ,82.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
461,Rincon,US,70.86,clear sky,32.296,-81.2354,Days Inn Rincon
463,Chone,EC,74.23,broken clouds,-0.6833,-80.1,Ciudadela Gonzalez
466,Beloha,MG,71.24,overcast clouds,-25.1667,45.05,
472,Bolitoc,PH,87.71,few clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
475,Yuli,NG,83.82,overcast clouds,9.6989,10.2744,
476,Cururupu,BR,73.26,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
477,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
478,Airai,TL,72.66,overcast clouds,-8.9266,125.4092,
483,Bubaque,GW,77.67,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
486,Sao Joao Da Barra,BR,74.61,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
487,Buala,SB,85.68,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
490,Half Moon Bay,US,75.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
491,Juruti,BR,75.96,scattered clouds,-2.1522,-56.0922,Pousada Marupiara
492,Orange Cove,US,79.97,clear sky,36.6244,-119.3137,
493,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
496,Tamandare,BR,78.17,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
498,Pekan,MY,81.72,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
499,Jaque,PA,79.43,clear sky,7.5175,-78.1703,Aventuras Jaque S.A
502,Masuguru,TZ,71.83,overcast clouds,-11.3667,38.4167,
505,Marsh Harbour,BS,74.3,clear sky,26.5412,-77.0636,Abaco Beach Resort
508,Gushikawa,JP,80.6,broken clouds,26.3544,127.8686,Kirari Guest House
509,Adrar,MR,72.01,clear sky,20.5022,-10.0711,
515,Sanford,US,75.49,clear sky,28.8006,-81.2731,Best Western Plus Sanford Airport/Lake Mary Hotel
516,Kirakira,SB,84.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
525,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
526,Lewistown,US,74.61,clear sky,40.5992,-77.5714,Quality Inn & Suites
530,Filingue,NE,86.74,overcast clouds,14.3521,3.3168,
531,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
535,Alugan,PH,81.59,overcast clouds,12.2188,125.4808,JM Lodge
541,Sharjah,AE,82.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
544,Balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
546,Bluefields,NI,77.83,clear sky,12.0137,-83.7635,Nicaraguan Typical House Downtown
547,Victoria,HK,82.96,clear sky,22.2855,114.1577,Mini Hotel Central
550,Bodden Town,KY,77.0,overcast clouds,19.2833,-81.25,Will T Place
553,Cap Malheureux,MU,75.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
554,Phalaborwa,ZA,70.88,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
556,Port Blair,IN,83.61,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
557,Tombouctou,ML,75.25,clear sky,20.0,-3.0,
559,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
561,Ugoofaaru,MV,84.27,overcast clouds,5.6667,73.0,Ungoofaaru Inn
562,Eyl,SO,80.33,broken clouds,7.9803,49.8164,Amiin Hotel
563,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
566,Malibu,US,86.56,clear sky,34.005,-118.8101,Malibu Country Inn
567,Tual,ID,83.82,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
568,Fomboni,KM,82.09,light rain,-12.28,43.7425,Auberge les abou
569,Balkanabat,TM,71.17,overcast clouds,39.5108,54.3671,Nebitchi Hotel
570,Tebingtinggi,ID,80.56,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
571,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
575,Dong Hoi,VN,84.09,clear sky,17.4833,106.6,Nam Long Hotel
576,Umm Kaddadah,SD,81.18,scattered clouds,13.6017,26.6876,
577,Pangai,TO,79.52,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
579,Beira,MZ,74.01,few clouds,-19.8436,34.8389,Beira Terrace Hotel
580,Artesia,US,88.03,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
583,Daru,PG,84.96,scattered clouds,-9.0763,143.2092,Daru Lodge
586,Galle,LK,80.24,light rain,6.0367,80.217,Amangalla
589,Saint-Georges,GD,78.58,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
591,Kyabe,TD,83.55,overcast clouds,9.4515,18.9449,
593,Awbari,LY,70.66,scattered clouds,26.5921,12.7805,فندق أوباري
595,Camargo,MX,87.51,clear sky,27.6667,-105.1667,Hotel Santa Fe
598,Barao De Melgaco,BR,75.92,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
602,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
604,Puerto Quijarro,BO,79.39,overcast clouds,-17.7833,-57.7667,Hotel palance
605,Niteroi,BR,76.66,few clouds,-22.8833,-43.1036,Hotel Viareggio
606,Uaua,BR,72.95,clear sky,-9.8414,-39.4817,Hotel Uauá
608,Terra Santa,BR,75.83,scattered clouds,-2.1042,-56.4869,Hotel Sarah
609,Atambua,ID,81.46,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
610,Jiazi,CN,80.19,few clouds,22.8779,116.067,Hotel Jin Hao
611,Lake Havasu City,US,80.6,clear sky,34.4839,-114.3224,Heat Hotel
612,Kieta,PG,85.68,light rain,-6.2167,155.6333,Uruna Bay Retreat
613,Honiara,SB,87.53,scattered clouds,-9.4333,159.95,Heritage Park Hotel
615,Hervey Bay,AU,75.29,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
618,Mount Pleasant,US,71.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
621,Sabang,ID,83.25,overcast clouds,5.8933,95.3214,Hotel Citra
622,Riyadh,SA,71.74,light rain,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
